task,latency,resource,observation,reward,cost,workload,conf
923,196.479,154.0,0.0;0.0;0.28;0.69;0.0;0.0;0.0;0.03;0.02;0.86;6.92;0.23;7.7;2.65;1.02;0.27;1.53;1.4;154.0;10;196.479,0.7,34.94,10,21;3;3;2;40;600;24;14;1;-159;2.2;20;4;2;7;3;18;1;4;2;1184;18;1;1;3;864;288;8.0;1;3
924,273.919,148.0,0.0;0.0;0.27;1.46;0.0;0.0;0.0;0.83;0.02;0.93;10.44;0.13;4.68;2.67;1.07;0.23;18.8;1.5;148.0;10;273.919,4.2,77.44,10,20;3;2;1;30;500;23;15;1;-158;2.2;30;3;3;7;3;17;1;3;2;1312;19;1;1;2;832;320;7.5;1;3
925,122.879,132.0,0.0;0.0;0.28;0.7;0.0;0.0;0.0;0.29;0.02;0.97;6.92;0.18;10.59;2.34;1.13;0.19;1.86;0.76;132.0;10;122.879,15,22.88,10,19;2;3;2;40;500;22;16;1;-157;2.0;20;3;2;8;3;16;1;2;2;1440;19;1;1;1;832;288;8.0;2;3
926,333.567,119.0,0.0;0.0;0.29;7.09;0.14;0.0;0.0;0.09;0.02;1.01;7.01;0.19;1.27;1.62;1.2;0.22;1.09;1.4;119.0;10;333.567,9.1,210.69,10,18;2;3;1;40;400;21;15;1;-158;1.8;10;2;1;8;3;15;1;3;1;1568;20;1;1;1;832;288;7.5;1;3
927,114.303,151.0,0.59;0.01;0.34;0.76;0.0;0.0;0.0;0.84;0.02;0.97;6.95;0.17;28.29;2.08;1.23;0.24;12.77;0.76;151.0;10;114.303,5.0,14.3,10,19;2;3;2;40;300;22;16;2;-159;1.8;10;1;1;9;2;15;2;3;1;1696;19;1;1;1;864;256;7.0;2;3
928,180.607,150.0,0.0;0.0;0.24;0.96;0.0;0.24;0.0;0.09;0.02;0.96;5.18;0.16;30.89;2.08;1.33;0.2;2.13;1.37;150.0;10;180.607,0.7,66.3,10,19;1;4;1;50;200;21;17;3;-158;2.0;10;1;1;9;1;14;3;2;2;1824;20;1;1;1;864;224;6.5;1;3
929,142.079,136.0,0.0;0.0;0.27;0.75;0.0;0.0;0.0;0.8;0.02;0.91;5.22;0.17;15.32;1.93;1.23;0.23;9.4;1.42;136.0;10;142.079,14.8,0,10,20;1;4;2;40;300;20;16;2;-157;2.2;20;2;1;9;2;15;2;3;3;1952;21;1;2;1;864;256;6.0;1;3
930,95.167,145.0,0.0;0.0;0.23;4.01;0.0;0.0;0.0;0.83;0.03;0.92;4.17;0.17;4.65;2.35;1.15;0.19;6.31;1.45;145.0;10;95.167,5.0,0,10,20;1;5;1;30;400;19;17;3;-158;2.0;10;1;2;8;3;16;1;2;4;2080;21;1;3;1;896;224;5.5;1;3
931,190.847,144.0,0.09;0.0;0.19;0.63;0.0;0.0;0.0;0.03;0.02;0.07;4.17;0.17;15.25;2.1;1.23;0.15;0.53;1.63;144.0;10;190.847,0.7,95.68,10,21;2;5;1;30;300;18;16;2;-157;2.0;20;2;2;9;2;15;1;1;5;2208;21;1;4;1;928;256;6.0;1;3
932,129.791,125.0,0.0;0.0;0.2;1.95;0.0;0.0;0.0;0.04;0.04;0.94;3.4;0.17;13.92;2.08;1.33;0.14;0.55;1.67;125.0;10;129.791,15,0,10,20;1;6;2;20;200;17;16;2;-157;2.0;20;1;1;9;2;14;1;1;6;2336;22;1;4;1;960;224;6.0;1;2
933,185.087,104.0,0.0;0.0;0.16;7.5;0.0;0.0;0.0;0.05;0.02;0.86;3.47;0.17;8.97;2.32;1.44;0.16;0.36;1.34;104.0;10;185.087,10.0,55.3,10,21;1;6;3;10;300;17;16;1;-156;1.8;30;1;1;8;1;13;1;1;7;2464;21;1;5;1;928;192;5.5;1;1
934,188.031,147.0,0.0;0.0;0.17;0.62;0.0;0.0;0.0;0.83;0.02;0.84;4.13;0.17;15.53;2.05;1.54;0.14;3.12;0.73;147.0;10;188.031,0.1,2.94,10,22;2;5;3;10;300;17;15;1;-156;1.8;30;2;2;9;1;12;2;1;8;2336;22;1;6;2;928;192;5.0;2;1
935,190.975,151.0,0.0;0.14;0.23;1.8;0.0;0.0;0.0;0.08;0.02;0.83;2.49;0.15;11.72;2.36;1.42;0.19;0.35;0.51;151.0;10;190.975,0.1,2.94,10,22;1;6;3;10;200;16;16;1;-156;1.6;30;2;3;8;2;13;3;2;7;2464;22;1;6;1;960;160;5.0;3;2
936,170.879,172.0,0.0;0.0;0.17;0.96;0.0;0.0;0.0;0.74;0.02;0.72;3.45;0.18;9.74;2.33;1.32;0.14;0.44;0.37;172.0;10;170.879,5.0,0,10,22;1;6;2;10;100;17;15;2;-157;1.6;20;3;3;8;2;14;3;1;6;2464;22;1;7;1;960;160;4.5;4;3
937,112.703,208.0,0.0;0.0;0.15;2.7;0.0;0.0;0.0;0.42;0.02;0.88;2.95;0.18;5.3;2.35;1.22;0.14;1.29;0.33;208.0;10;112.703,5.0,0,10,21;1;7;3;10;200;16;16;2;-158;1.6;30;4;3;8;3;15;3;1;6;2336;22;1;8;2;992;128;4.5;5;3
938,99.583,208.0,0.0;0.0;0.21;0.84;0.0;0.0;0.0;0.55;0.02;0.92;3.47;0.17;7.79;2.08;1.1;0.14;1.12;0.28;208.0;10;99.583,3.94,0,10,20;1;6;3;20;300;17;16;3;-159;1.4;20;4;2;9;3;16;2;1;6;2336;22;1;9;2;960;96;4.0;5;3
939,174.719,248.0,0.0;0.14;0.11;0.73;0.0;0.0;0.0;0.35;0.02;0.96;2.43;0.16;6.25;2.35;1.1;0.2;0.18;0.26;248.0;10;174.719,0.1,75.14,10,19;2;6;3;10;400;18;17;3;-158;1.6;10;5;3;8;2;17;3;2;7;2336;21;1;10;2;928;96;4.5;6;3
940,189.951,262.0,0.0;0.01;0.17;0.8;0.0;0.0;0.0;0.8;0.02;0.97;4.3;0.16;5.11;2.68;1.06;0.21;1.69;0.21;262.0;10;189.951,0.1,15.23,10,19;3;5;3;10;400;17;17;3;-158;1.6;10;6;3;7;3;18;3;2;8;2336;21;1;11;1;896;96;4.5;7;2
941,121.855,235.0,0.0;0.0;0.18;2.96;0.0;0.0;0.0;0.06;0.02;0.97;3.47;0.16;4.54;2.35;1.02;0.26;0.17;0.25;235.0;10;121.855,15,0,10,19;2;6;3;10;300;18;18;3;-158;1.8;10;5;3;8;3;18;2;3;7;2208;20;1;12;1;928;96;4.0;6;3
942,148.223,262.0,0.0;0.07;0.26;0.83;0.0;0.59;0.0;0.82;0.02;0.97;2.66;0.14;7.71;2.35;1.11;0.18;1.42;0.29;262.0;10;148.223,0.1,26.37,10,19;3;7;3;10;400;17;19;3;-157;1.6;20;4;2;8;3;17;3;2;7;2080;21;1;13;1;896;64;4.0;5;2
943,180.479,232.0,0.0;0.0;0.45;0.83;0.41;0.0;0.0;0.82;0.02;0.91;2.96;0.16;10.46;2.33;1.04;0.15;1.35;0.25;232.0;10;180.479,10.0,32.26,10,20;3;7;3;20;500;16;18;2;-158;1.8;10;3;1;7;3;18;2;1;8;1952;21;1;14;2;928;96;4.5;6;1
944,231.935,266.0,0.0;0.0;0.24;0.83;0.0;0.0;0.0;1.64;0.02;0.93;2.66;0.16;7.94;2.81;1.02;0.2;1.21;0.22;266.0;10;231.935,0.1,51.46,10,21;3;8;3;30;400;15;19;2;-159;1.6;10;4;1;7;2;19;3;2;9;1952;20;1;13;3;960;64;5.0;7;1
945,187.263,222.0,0.0;0.01;0.24;0.75;0.0;0.0;0.0;0.09;0.02;0.92;2.98;0.16;6.24;2.33;1.01;0.23;0.13;0.17;222.0;10;187.263,15,87.26,10,20;3;7;2;40;300;16;20;1;-159;1.8;10;5;1;8;2;18;3;2;10;1824;19;1;13;2;960;64;5.5;8;1
946,157.311,186.0,0.0;0.65;0.26;0.68;0.0;0.0;0.0;0.4;0.02;0.97;0.82;0.14;6.19;2.61;0.97;0.18;0.42;0.2;186.0;10;157.311,15,0,10,19;2;7;3;30;300;15;19;1;-160;1.6;10;5;1;7;3;19;2;1;11;1952;18;1;12;1;992;64;5.0;7;2
947,119.423,267.0,0.0;0.19;0.29;1.04;0.0;0.0;0.0;0.09;0.02;0.97;2.58;0.14;7.75;2.68;0.92;0.19;0.14;0.26;267.0;10;119.423,5.0,0,10,19;3;8;3;30;400;15;20;2;-161;1.4;10;4;1;7;3;20;3;1;11;2080;17;1;13;2;1024;96;4.5;6;3
948,156.799,240.0,0.61;0.26;0.2;0.69;0.0;0.0;0.0;0.79;0.02;0.92;1.32;0.13;6.2;2.68;0.96;0.26;1.46;0.2;240.0;10;156.799,10.0,37.38,10,20;3;9;2;20;300;14;21;2;-162;1.4;10;5;2;7;3;19;2;2;10;2080;17;1;13;1;992;96;5.0;7;3
949,180.095,254.0,0.0;0.0;0.25;0.72;0.09;0.0;0.0;0.79;0.02;0.98;2.31;0.13;7.79;1.73;0.97;0.29;1.46;0.26;254.0;10;180.095,0.1,23.3,10,19;2;9;3;30;400;15;22;3;-163;1.4;10;4;3;6;2;19;3;3;9;2208;18;1;12;1;960;64;4.5;6;2
950,152.959,215.0,0.0;0.0;0.27;0.7;0.53;0.0;0.0;0.79;0.03;1.26;1.93;0.14;6.37;2.42;1.15;0.32;1.68;0.32;215.0;10;152.959,15,0,10,20;1;10;3;40;500;16;22;3;-164;1.4;10;5;3;5;2;18;2;3;10;2336;17;1;11;1;960;96;4.5;5;2
951,138.111,196.0,0.0;0.01;0.24;0.74;0.0;0.0;0.0;0.08;0.02;0.98;2.08;0.13;6.87;3.78;1.08;0.36;0.19;0.38;196.0;10;138.111,14.45,0,10,19;1;10;3;30;400;15;22;3;-164;1.4;20;4;3;5;2;17;1;4;10;2464;18;1;12;1;928;128;5.0;4;3
952,87.807,198.0,0.0;0.08;0.23;0.62;0.0;0.0;0.0;0.08;0.02;1.02;1.42;0.13;6.21;3.75;1.0;0.41;0.18;0.51;198.0;10;87.807,5.0,0,10,18;1;10;3;30;400;14;22;3;-165;1.2;20;5;2;5;3;18;1;5;11;2592;19;1;13;1;960;128;4.5;3;3
953,150.143,208.0,0.0;0.0;0.15;0.8;0.0;0.0;0.0;0.08;0.02;0.95;1.88;0.12;7.82;4.71;0.96;0.45;0.15;0.72;208.0;10;150.143,0.1,62.34,10,19;1;11;3;40;300;15;22;2;-166;1.0;10;4;3;4;3;19;2;6;11;2720;20;1;12;2;928;96;4.0;2;3
954,163.199,255.0,0.0;0.0;0.26;0.73;0.0;0.0;0.0;0.33;0.02;0.92;2.06;0.13;6.27;6.27;1.02;0.51;0.69;0.77;255.0;10;163.199,0.1,13.06,10,20;2;10;2;50;300;15;22;3;-167;1.2;10;5;2;3;2;18;3;7;10;2848;20;1;11;3;960;64;4.0;2;3
955,100.671,217.0,0.37;0.01;0.37;0.77;0.0;0.0;0.0;0.82;0.02;0.07;1.89;0.13;7.73;4.69;0.96;0.49;1.88;0.49;217.0;10;100.671,15,0,10,20;1;11;1;60;200;14;21;3;-168;1.0;20;4;1;4;1;19;3;6;10;2976;19;1;10;3;992;64;3.5;3;3
956,242.175,224.0,2.84;0.17;0.41;0.69;0.0;0.0;0.0;0.64;0.02;1.06;1.7;0.13;6.27;6.34;0.91;0.49;1.14;0.5;224.0;10;242.175,0.1,141.5,10,20;2;11;1;70;300;13;22;2;-168;0.8;10;5;1;3;1;20;3;6;11;3104;19;1;11;3;992;64;4.0;3;3
957,187.263,211.0,0.0;0.0;0.34;0.67;0.0;0.0;0.0;0.82;0.02;0.98;1.74;0.12;7.74;4.65;0.93;0.42;1.61;0.38;211.0;10;187.263,14.1,87.26,10,19;1;12;1;60;400;12;22;3;-167;0.6;10;4;1;4;2;20;2;5;11;3232;20;1;10;3;960;96;4.5;4;3
958,186.751,178.0,0.0;0.0;0.41;1.05;0.0;0.0;0.0;0.81;0.02;1.03;1.58;0.14;6.45;3.72;0.88;0.43;1.71;0.44;178.0;10;186.751,10.15,0,10,18;1;13;1;70;500;11;21;3;-168;0.5;20;5;1;5;2;21;1;5;12;3232;20;1;11;2;928;128;4.0;3;2
959,198.911,182.0,2.9;0.44;0.73;0.66;0.0;0.51;0.0;0.84;0.02;0.08;1.64;0.12;5.25;4.53;1.12;0.41;1.92;0.73;182.0;10;198.911,0.1,12.16,10,17;1;14;2;80;400;12;22;2;-167;0.5;30;6;1;4;3;20;2;4;13;3360;19;1;10;1;960;128;3.5;2;3
960,260.863,180.0,0.0;0.0;0.35;0.71;0.0;0.0;0.0;0.06;0.02;1.16;1.59;0.13;4.23;3.78;0.98;0.35;0.22;1.5;180.0;10;260.863,1.4,61.95,10,16;1;13;3;70;500;11;22;1;-167;0.5;40;7;1;5;2;19;3;3;14;3488;18;1;9;1;960;96;4.0;1;2
961,168.575,182.0,0.0;0.01;0.32;0.66;0.0;0.0;0.0;0.07;0.02;1.16;1.73;0.12;3.83;3.1;0.97;0.29;0.26;1.31;182.0;10;168.575,5.0,68.57,10,16;1;12;3;60;400;10;22;1;-166;0.5;30;8;2;6;1;19;3;2;13;3360;17;1;9;1;928;128;3.5;1;3
962,154.879,174.0,0.0;0.0;0.41;0.73;0.0;0.0;0.0;0.83;0.02;1.08;1.6;0.14;3.91;3.16;0.91;0.33;0.17;1.46;174.0;10;154.879,9.71,0,10,17;2;13;2;70;300;10;21;1;-167;0.5;20;8;2;6;1;20;2;3;14;3232;18;1;10;1;896;96;4.0;1;3
963,184.191,191.0,0.03;0.0;0.33;0.77;0.0;0.0;0.0;0.8;0.02;0.8;1.72;0.14;4.41;3.8;0.97;0.44;1.71;1.56;191.0;10;184.191,0.1,29.31,10,16;3;12;1;80;400;9;22;2;-167;0.7;10;7;3;5;1;19;1;4;14;3104;17;1;11;2;928;64;3.5;1;3
964,270.847,187.0,0.0;0.0;0.39;1.82;0.0;0.0;0.0;1.4;0.03;1.16;1.9;0.13;3.35;5.46;0.74;0.34;0.15;1.46;187.0;10;270.847,2.8,86.66,10,16;2;11;2;70;500;9;22;3;-168;0.9;10;6;2;5;1;19;1;3;14;3232;18;1;11;1;960;64;4.0;1;2
965,187.263,206.0,0.0;0.0;0.35;0.75;0.0;0.0;0.0;0.07;0.03;1.23;1.86;0.13;6.22;3.73;0.92;0.39;0.17;1.67;206.0;10;187.263,5.0,87.26,10,15;2;11;1;60;400;8;22;3;-168;0.7;20;5;2;5;1;20;2;4;14;3360;19;1;12;2;928;64;4.5;1;1
966,172.415,225.0,0.0;0.0;0.3;0.77;0.0;0.0;0.0;0.06;0.02;1.15;2.06;0.14;7.41;3.18;0.87;0.5;0.19;1.32;225.0;10;172.415,4.45,0,10,16;2;10;2;50;300;9;22;3;-169;0.5;20;4;2;6;1;21;3;5;15;3488;18;1;11;1;960;96;5.0;1;1
967,198.015,193.0,0.0;0.0;0.15;3.54;0.0;0.0;0.0;0.57;0.02;1.16;2.3;0.13;5.36;2.69;0.87;0.53;1.32;0.79;193.0;10;198.015,10.0,25.6,10,16;1;9;2;60;200;8;21;2;-168;0.7;10;3;2;7;1;21;3;5;15;3360;17;1;11;2;992;96;5.5;2;1
968,199.295,206.0,0.0;0.0;0.31;0.74;0.0;0.0;0.0;0.7;0.02;1.16;2.06;0.13;7.74;3.1;0.83;0.46;1.87;0.45;206.0;10;199.295,0.1,1.28,10,16;2;10;2;70;300;9;21;1;-167;0.5;20;4;3;6;1;22;3;4;14;3360;16;1;10;3;992;128;5.0;3;1
969,271.871,186.0,1.74;0.0;0.37;3.63;2.06;0.0;0.0;0.82;0.02;1.15;1.89;0.14;5.3;4.2;0.88;0.39;1.88;0.35;186.0;10;271.871,10.0,72.58,10,17;3;11;1;60;200;9;21;1;-167;0.5;20;3;2;5;1;21;2;3;15;3360;16;1;10;3;992;160;4.5;4;1
970,146.559,188.0,0.0;0.0;0.39;0.73;2.06;0.0;0.0;0.08;0.02;1.18;1.87;0.12;7.4;3.84;0.83;0.49;0.21;0.49;188.0;10;146.559,5.0,46.56,10,17;2;11;1;60;200;9;22;2;-168;0.7;10;4;3;6;1;22;2;4;16;3360;16;1;9;2;992;192;4.5;3;1
971,121.919,177.0,0.0;0.0;0.42;6.67;0.0;0.0;0.0;0.82;0.02;1.17;1.71;0.12;0.4;3.75;0.84;0.57;1.87;0.44;177.0;10;121.919,12.7,0,10,16;3;12;2;50;100;8;21;1;-167;0.9;10;4;2;5;1;22;1;5;15;3488;16;1;10;3;992;192;5.0;3;1
972,140.543,207.0,0.0;0.0;0.28;0.81;0.0;0.0;0.0;0.82;0.02;1.22;1.58;0.12;6.27;4.65;0.46;0.53;1.69;0.49;207.0;10;140.543,0.1,18.62,10,15;3;13;3;60;200;7;21;1;-168;0.7;10;5;3;4;1;21;2;5;14;3360;16;1;11;2;992;192;5.0;3;1
973,102.591,219.0,0.0;0.0;0.34;0.76;0.0;0.0;0.0;0.81;0.02;1.28;1.71;0.13;7.5;3.74;0.91;0.47;1.55;0.47;219.0;10;102.591,5.0,0,10,16;3;12;3;60;300;6;21;2;-168;0.5;20;4;3;5;2;20;2;4;13;3232;16;1;12;1;1024;160;5.0;3;1
974,122.367,234.0,0.0;0.0;0.24;0.73;0.0;0.0;0.0;0.81;0.03;1.08;1.59;0.12;5.96;3.77;0.87;0.44;1.17;0.71;234.0;10;122.367,0.1,19.78,10,17;2;13;3;50;200;5;22;2;-169;0.7;20;5;3;5;1;21;3;4;14;3104;17;1;13;1;992;192;4.5;2;2
975,153.599,235.0,0.0;0.01;0.34;0.68;0.0;0.0;0.0;0.81;0.02;1.1;1.46;0.13;4.84;3.14;0.93;0.36;1.57;1.31;235.0;10;153.599,0.1,31.23,10,17;1;14;2;40;200;4;21;3;-170;0.5;10;6;3;6;1;20;3;3;15;3232;18;1;12;2;1024;192;5.0;1;1
976,123.711,231.0,0.0;0.0;0.27;0.71;0.15;0.0;0.0;0.8;0.02;1.04;1.41;0.14;5.15;3.41;0.96;0.27;1.58;0.75;231.0;10;123.711,7.8,0,10,18;1;14;3;40;100;5;20;3;-171;0.5;10;6;2;5;2;19;3;2;15;3360;18;1;12;1;1024;160;5.5;2;1
977,193.535,230.0,0.0;0.0;0.23;6.55;0.0;0.0;0.0;0.8;0.02;1.05;1.59;0.14;0.27;3.13;0.91;0.28;1.49;1.47;230.0;10;193.535,0.7,69.82,10,17;2;13;3;30;200;4;20;3;-170;0.5;10;7;1;6;3;20;2;2;16;3488;18;1;13;1;992;192;5.5;1;1
978,125.439,246.0,0.0;0.0;0.24;1.0;0.0;0.0;0.0;0.8;0.01;1.03;1.6;0.12;5.28;3.78;0.88;0.38;1.46;1.31;246.0;10;125.439,5.0,0,10,18;3;13;3;20;200;4;19;2;-169;0.5;20;6;1;5;3;21;3;3;16;3360;17;1;13;1;960;160;5.5;1;1
979,163.199,209.0,0.0;0.0;0.23;0.72;0.29;0.0;0.0;2.17;0.02;0.98;1.47;0.13;5.33;2.73;0.82;0.41;0.53;1.53;209.0;10;163.199,10.0,37.76,10,19;3;14;3;30;300;5;20;1;-168;0.5;30;6;1;4;3;21;2;3;17;3232;16;1;12;1;992;128;5.0;1;2
980,248.191,197.0,0.0;0.0;0.25;0.78;0.23;3.11;0.0;0.12;0.01;1.03;1.38;0.14;5.21;3.79;1.08;0.49;0.15;1.52;197.0;10;248.191,8.4,84.99,10,18;3;15;3;40;400;4;20;1;-167;0.5;20;6;1;3;2;22;1;4;18;3360;16;1;13;2;992;128;5.5;1;2
981,248.575,217.0,0.0;0.0;0.16;0.78;0.0;0.0;0.0;0.82;0.02;1.02;1.47;0.13;6.2;9.48;0.82;0.47;1.34;1.52;217.0;10;248.575,0.1,148.57,10,18;2;14;3;50;300;3;19;1;-168;0.5;20;5;2;2;2;22;2;4;19;3488;17;1;14;3;1024;160;6.0;1;3
982,192.255,260.0,0.0;0.17;0.31;0.73;0.0;0.0;0.0;0.83;0.02;0.97;1.01;0.15;4.88;8.68;0.83;0.47;1.25;0.75;260.0;10;192.255,5.0,92.25,10,19;1;15;3;60;200;4;19;2;-167;0.5;30;6;3;2;3;22;3;4;19;3488;17;1;15;3;1024;192;6.0;2;3
983,166.527,262.0,0.0;0.0;0.41;0.66;0.0;0.0;0.0;0.06;0.02;0.89;1.29;0.15;5.13;6.29;0.88;0.56;0.1;0.78;262.0;10;166.527,5.0,0,10,19;2;16;2;70;100;3;20;2;-168;0.7;40;6;2;3;3;21;3;5;18;3616;17;1;15;3;1024;224;6.5;2;3
984,232.831,207.0,0.0;0.0;0.41;0.65;0.12;0.16;0.0;0.81;0.02;1.02;1.37;0.15;6.25;4.2;0.74;0.44;0.64;1.44;207.0;10;232.831,10.0,66.3,10,18;2;15;1;60;100;2;21;1;-169;0.9;50;5;2;4;3;20;3;4;17;3616;18;1;16;2;992;192;6.0;1;3
985,470.271,233.0,0.0;0.0;0.31;3.2;0.0;0.0;0.0;0.82;0.02;0.97;1.48;0.12;3.24;6.27;0.97;0.43;1.24;1.47;233.0;10;470.271,0.1,370.27,10,19;3;14;2;50;100;2;22;1;-170;0.7;40;4;3;3;3;19;2;4;18;3744;19;1;15;3;960;224;6.5;1;3
986,147.199,205.0,0.0;0.0;0.36;0.58;0.17;0.0;0.0;0.81;0.01;0.97;1.59;0.13;5.32;6.87;0.98;0.45;1.16;1.37;205.0;10;147.199,15,47.2,10,19;3;13;3;60;100;3;22;1;-170;0.7;30;4;3;2;2;19;1;4;19;3744;18;1;16;2;992;224;6.5;1;2
987,184.959,204.0,0.0;0.0;0.35;0.83;0.0;0.0;0.0;0.81;0.02;1.03;1.58;0.15;6.32;6.25;0.96;0.57;1.34;1.5;204.0;10;184.959,0.7,37.76,10,18;3;13;3;60;100;2;22;1;-170;0.7;20;5;3;3;1;19;2;5;18;3616;17;1;15;1;1024;256;6.5;1;1
988,331.519,193.0,0.0;0.01;0.34;0.89;0.0;0.02;0.0;0.82;0.02;1.07;1.59;0.13;7.2;6.22;1.01;0.5;1.35;1.46;193.0;10;331.519,7.7,146.56,10,17;2;13;3;60;100;3;21;1;-171;0.7;20;4;2;3;2;18;3;4;17;3616;16;1;14;1;1024;224;7.0;1;1
989,143.359,188.0,0.0;0.11;0.5;4.75;0.0;0.0;0.0;0.82;0.02;1.15;1.08;0.15;2.99;9.53;0.97;0.44;1.23;1.37;188.0;10;143.359,8.5,43.36,10,16;3;14;3;60;100;3;20;1;-171;0.9;10;3;1;2;3;19;2;3;16;3744;15;1;15;1;1024;256;7.5;1;1
990,176.767,224.0,1.04;0.0;0.39;0.86;0.0;0.0;0.0;0.07;0.02;1.09;1.37;0.15;15.72;18.54;0.99;0.57;0.12;1.5;224.0;10;176.767,0.1,33.41,10,17;3;15;3;50;100;2;19;2;-172;1.1;10;2;1;1;2;18;3;4;17;3616;14;1;16;1;992;288;7.0;1;2
991,193.791,178.0,0.0;0.01;0.22;5.92;0.24;0.0;0.0;0.82;0.02;1.02;1.29;0.15;5.86;19.17;1.02;0.46;1.23;1.57;178.0;10;193.791,10.0,17.02,10,18;2;16;2;40;100;3;19;2;-173;1.3;20;1;2;1;2;18;2;3;18;3744;15;1;15;1;1024;288;6.5;1;2
992,380.159,218.0,0.0;0.0;0.33;0.71;0.0;0.0;0.0;0.82;0.02;1.07;1.38;0.15;26.34;9.41;1.09;0.42;1.35;1.43;218.0;10;380.159,0.1,186.37,10,17;3;15;3;50;200;4;18;1;-174;1.5;20;1;2;2;2;17;3;3;19;3744;16;1;14;2;1024;256;6.0;1;3
993,170.239,200.0,1.77;0.0;0.58;0.72;0.0;0.0;0.0;0.06;0.02;1.14;1.27;0.14;24.64;6.32;1.15;0.55;0.11;1.6;200.0;10;170.239,15,70.24,10,16;2;16;2;40;100;3;17;2;-173;1.7;30;1;3;3;1;16;3;4;20;3872;15;1;15;2;1024;256;6.0;1;3
994,92.863,186.0,8.55;0.0;0.21;0.71;0.13;1.56;0.0;0.08;0.02;1.55;1.29;0.18;15.41;4.46;0.6;0.59;0.14;0.77;186.0;10;92.863,14.8,0,10,16;1;16;3;40;200;2;16;3;-174;1.5;20;2;2;4;1;17;2;4;19;3744;14;1;14;1;1024;256;6.0;2;2
995,91.711,232.0,0.41;0.0;0.22;0.73;0.0;0.0;0.0;0.09;0.02;0.64;1.22;0.15;30.95;4.73;1.02;0.46;0.15;0.77;232.0;10;91.711,0.35,0,10,16;2;17;3;30;100;1;17;3;-175;1.7;20;1;2;4;2;18;3;3;19;3872;15;1;13;1;1024;224;6.5;2;3
996,191.359,220.0,0.0;0.06;0.19;0.62;0.0;0.0;0.0;0.82;0.02;1.07;1.15;0.17;18.66;6.25;0.97;0.35;1.45;0.76;220.0;10;191.359,8.4,99.65,10,17;1;18;3;20;200;2;16;3;-174;1.9;10;1;1;3;3;19;3;2;18;4000;15;1;13;1;992;192;6.5;2;3
997,183.935,207.0,0.0;0.01;0.04;9.9;0.07;0.0;0.0;0.04;0.02;1.09;1.2;0.16;5.15;9.65;0.93;0.25;0.14;0.49;207.0;10;183.935,11.33,0,10,17;2;17;2;10;100;1;17;2;-173;1.7;10;1;2;2;3;20;3;1;18;4096;15;1;13;1;960;160;6.0;3;3
998,167.935,241.0,0.11;0.0;0.19;0.82;0.0;0.0;0.0;0.81;0.02;0.82;1.16;0.16;14.69;6.24;0.88;0.33;1.32;0.36;241.0;10;167.935,4.8,0,10,17;3;18;3;20;100;0;16;1;-172;1.9;10;2;3;3;3;21;3;2;17;4096;16;1;14;1;992;128;5.5;4;3
999,199.679,240.0,0.0;0.0;0.16;0.73;0.0;0.0;0.0;0.83;0.02;1.02;1.09;0.17;14.94;4.69;0.83;0.4;1.46;0.47;240.0;10;199.679,0.7,31.74,10,18;3;19;3;10;100;1;17;2;-171;2.1;10;2;2;4;3;22;2;3;18;3968;16;1;13;1;960;160;6.0;3;2
1000,342.015,223.0,0.0;0.17;0.16;6.42;0.2;0.0;0.0;0.16;0.02;1.09;1.12;0.17;5.77;4.86;0.88;0.52;0.12;0.76;223.0;10;342.015,10.0,142.34,10,17;3;19;3;10;100;0;16;1;-172;1.9;10;1;3;3;2;21;2;4;17;4096;16;1;14;2;928;192;6.5;2;2
1001,197.759,169.0,0.0;0.0;0.18;6.32;0.0;0.0;0.0;0.58;0.02;1.15;1.1;0.2;5.25;4.63;0.84;0.43;1.43;1.33;169.0;10;197.759,15,97.76,10,16;2;19;2;20;100;-1;15;1;-173;2.1;20;1;2;4;1;22;1;3;16;3968;16;1;13;3;928;192;6.5;1;1
1002,170.879,167.0,0.0;0.0;0.17;0.7;0.0;2.24;0.0;0.94;0.02;1.15;1.04;0.17;15.57;6.28;0.85;0.34;1.57;1.46;167.0;10;170.879,6.4,0,10,16;3;20;1;20;100;-1;15;1;-174;2.3;10;2;2;3;2;22;1;2;15;4096;15;1;12;3;928;160;6.0;1;1
1003,196.735,191.0,0.0;0.0;0.1;0.65;0.0;0.0;0.0;0.83;0.02;1.09;0.98;0.2;10.22;9.34;0.84;0.26;1.56;1.62;191.0;10;196.735,0.1,25.86,10,17;3;21;1;30;100;0;14;1;-175;2.5;20;3;1;2;3;22;2;1;16;4096;14;1;12;3;896;128;6.5;1;2
1004,169.343,212.0,0.04;0.0;0.28;0.62;0.0;0.0;0.0;0.05;0.02;0.75;0.99;0.19;7.76;6.27;0.88;0.27;0.15;1.4;212.0;10;169.343,5.0,0,10,17;3;21;2;40;200;-1;14;1;-176;2.3;30;4;1;3;3;21;2;1;16;4096;13;1;12;3;928;160;6.0;1;1
1005,169.087,207.0,0.0;0.0;0.3;0.67;0.2;0.0;0.0;0.07;0.02;1.02;1.04;0.2;10.27;4.96;0.83;0.37;0.14;1.52;207.0;10;169.087,3.58,0,10,18;2;20;1;30;100;-2;14;2;-176;2.1;40;3;2;3;3;22;3;2;16;4096;14;1;13;2;960;160;5.5;1;2
