task,latency,resource,observation,reward,cost,workload,conf
26,75.903,47.0,1.31;0.25;0.51;4.15;0.54;1.21;0.48;0.92;0.02;5.81;6.08;3.06;10.97;5.86;3.45;1.14;5.47;1.48;47.0;10;75.903,0.5,0,10,4;3;3;3;60;600;7;1;1;1;0.9;100;3;1;3;2;4;2;1;8;256;3;1;3;1;256;160;1.6;1;2
27,70.783,45.0,1.47;0.14;0.43;9.06;0.37;0.24;0.59;1.02;0.02;5.83;7.05;2.71;9.55;6.03;4.72;0.88;8.57;1.13;45.0;10;70.783,2.4,0,10,3;2;3;3;60;500;7;1;1;1;0.9;100;4;1;4;1;4;3;1;8;128;3;1;2;2;256;192;2.1;2;1
28,166.911,57.0,1.34;0.27;0.57;8.32;0.47;0.61;0.89;0.7;0.02;6.01;6.19;2.83;5.59;4.96;4.08;1.24;8.24;0.62;57.0;10;166.911,0.5,66.91,10,3;3;4;3;50;600;8;1;1;1;1.1;90;4;2;4;1;4;3;2;9;32;2;1;1;3;288;224;1.6;3;2
29,52.671,46.0,1.71;0.3;0.67;5.3;0.39;0.56;0.96;1.08;0.02;5.89;5.98;2.29;7.74;5.9;4.63;1.64;19.12;0.47;46.0;10;52.671,8.7,0,10,4;2;3;2;40;700;9;2;1;0;0.9;90;4;2;3;2;3;3;2;9;32;1;1;1;2;288;256;2.1;4;1
30,79.743,37.0,2.02;0.33;0.5;0.88;0.28;0.63;1.03;1.18;0.03;5.06;6.18;1.37;8.68;8.33;7.62;3.5;15.72;0.47;37.0;10;79.743,6.8,0,10,4;2;4;2;30;600;10;1;1;-1;0.7;100;3;1;2;3;2;2;2;9;160;1;1;1;3;320;224;1.6;3;1
31,75.007,34.0,2.4;0.22;0.58;1.15;0.34;0.75;0.57;0.91;0.02;5.4;5.28;2.28;9.22;8.04;7.26;3.11;13.32;0.44;34.0;10;75.007,3.1,0,10,3;1;4;3;30;700;11;1;2;-2;0.9;100;4;1;2;2;1;1;1;10;32;1;1;1;3;352;224;1.1;4;1
32,12.863,33.0,4.21;0.24;0.52;1.04;0.26;0.93;0.7;1.03;0.02;6.47;5.3;2.35;7.98;9.61;19.8;2.75;17.9;0.41;33.0;10;12.863,1.7,0,10,3;1;4;3;40;600;12;1;2;-3;0.7;100;4;1;2;2;1;1;1;10;32;1;1;1;2;384;192;1.1;4;1
33,7.339,35.0,2.04;0.23;0.28;3.88;0.14;1.53;0.38;0.67;0.03;6.39;5.34;2.6;4.17;15.36;21.96;3.04;11.42;0.42;35.0;10;7.339,1.0,0,10,3;2;4;2;50;700;13;1;3;-2;0.9;100;3;1;1;3;1;1;2;9;160;1;1;2;3;352;224;1.6;4;1
34,7.755,50.0,1.55;0.3;0.42;0.7;0.25;1.39;1.03;0.76;0.02;3.77;5.26;3.0;12.54;14.47;12.5;2.92;9.33;0.48;50.0;10;7.755,0.5,0,10,4;3;4;3;50;800;13;1;3;-2;1.1;90;2;1;2;3;1;1;3;8;32;2;1;2;3;320;224;2.1;3;2
35,7.839,51.0,0.78;0.22;0.47;0.66;0.26;1.55;0.88;0.83;0.02;4.73;6.05;2.55;12.0;6.25;16.34;1.54;14.12;0.54;51.0;10;7.839,0.5,0,10,4;3;3;2;50;700;14;1;3;-3;1.3;100;3;2;3;3;1;1;2;9;32;2;1;1;3;352;256;1.6;3;3
