task,latency,resource,observation,reward,cost,workload,conf
28,20.22,41,0.34;0.12;0.35;0.62;0.66;0.69;0.53;0.78;0.02;8.41;6.21;0.65;15.11;6.0;2.93;1.0;4.7;0.45;41;10;20.22,-1,-1,10,2;3;1;1;60;200;5;2;3;0;1.3;100;4;3;2;1;2;2;3;7;288;3;1;4;1;416;352;2.1;3;1
29,20.22,39,0.34;0.12;0.35;0.62;0.66;0.69;0.53;0.78;0.02;8.41;6.21;0.65;15.11;6.0;2.93;1.0;4.7;0.45;39;10;20.22,-1,-1,10,1;3;2;1;60;200;6;3;3;0;1.1;100;4;2;3;1;1;1;3;8;288;4;1;3;2;448;352;2.1;3;1
30,7.73,41,1.83;0.71;0.49;0.73;0.15;0.48;1.07;0.56;0.02;7.45;16.14;2.68;7.8;5.53;8.01;1.39;6.67;0.36;41;10;7.73,-1,-1,10,2;3;3;2;50;200;5;4;3;-1;1.3;100;3;1;2;1;1;2;4;9;416;3;1;3;1;480;384;1.6;2;2
31,185.85,58,0.0;0.0;0.29;0.67;0.0;0.0;0.0;0.83;0.02;3.13;6.94;0.21;6.19;1.85;2.65;0.28;3.13;0.14;58;10;185.85,-1,-1,10,1;3;4;3;40;300;4;4;3;0;1.1;90;4;2;3;2;2;1;3;10;544;4;1;4;2;512;416;1.1;1;3
32,70.66,45,0.0;0.0;0.24;1.04;0.0;0.0;0.0;0.09;0.01;3.18;5.19;0.21;5.25;1.86;3.11;0.34;0.46;0.15;45;10;70.66,-1,-1,10,2;3;3;2;50;400;5;3;3;-1;1.3;80;4;2;3;1;3;1;2;9;544;4;1;4;1;544;416;1.1;1;2
33,120.06,46,0.0;0.0;0.56;9.21;0.93;0.0;0.0;0.82;0.02;6.15;1.56;0.15;2.34;2.21;1.31;0.73;2.34;0.07;46;10;120.06,-1,-1,10,3;2;4;1;60;500;4;4;2;0;1.1;70;4;3;3;1;2;2;3;9;416;4;1;4;1;576;384;1.1;1;1
34,181.76,44,0.0;0.0;0.4;0.7;0.0;0.0;0.0;0.81;0.01;4.67;2.6;0.15;10.55;1.84;1.42;0.8;2.11;0.07;44;10;181.76,-1,-1,10,4;1;3;1;50;600;3;4;3;-1;0.9;60;3;3;4;1;2;1;4;8;288;4;1;4;1;608;352;1.1;1;2
35,14.73,46,0.0;0.01;0.38;2.35;0.0;0.0;0.0;0.82;0.02;4.62;10.45;0.18;4.9;1.84;1.82;0.24;2.08;0.1;46;10;14.73,-1,-1,10,4;2;4;1;50;500;2;4;3;0;1.1;70;4;2;4;1;1;1;3;9;288;3;1;4;1;640;352;1.6;1;2
36,14.73,31,0.0;0.01;0.38;2.35;0.0;0.0;0.0;0.82;0.02;4.62;10.45;0.18;4.9;1.84;1.82;0.24;2.08;0.1;31;10;14.73,-1,-1,10,3;1;4;1;40;400;3;4;2;-1;1.1;70;3;1;3;1;2;1;4;9;160;2;1;3;1;672;320;2.1;1;3
37,239.49,24,0.0;0.39;0.28;0.71;0.0;0.0;0.0;0.07;0.02;0.87;10.6;0.15;5.13;9.39;1.23;0.36;0.21;1.36;24;10;239.49,-1,-1,10,3;1;3;1;30;500;2;4;1;-2;1.1;80;3;1;2;1;3;1;5;8;288;1;1;2;1;640;288;1.6;1;3
38,14.73,25,0.0;0.01;0.38;2.35;0.0;0.0;0.0;0.82;0.02;4.62;10.45;0.18;4.9;1.84;1.82;0.24;2.08;0.1;25;10;14.73,-1,-1,10,2;1;2;1;40;400;2;4;1;-3;1.1;70;3;1;1;1;4;1;6;8;160;1;1;3;2;672;320;1.6;1;2
39,13.96,40,1.0;0.35;0.36;2.61;0.36;0.91;0.54;0.83;0.02;12.67;10.84;1.81;6.48;8.74;20.25;1.01;14.27;0.51;40;10;13.96,-1,-1,10,3;2;3;2;30;300;1;3;2;-4;1.1;80;4;2;1;1;3;2;7;9;288;2;1;2;1;704;320;1.6;1;3
40,13.96,46,1.0;0.35;0.36;2.61;0.36;0.91;0.54;0.83;0.02;12.67;10.84;1.81;6.48;8.74;20.25;1.01;14.27;0.51;46;10;13.96,-1,-1,10,2;3;2;3;20;200;0;4;2;-3;0.9;90;3;1;1;2;4;3;8;10;416;3;1;3;1;704;288;2.1;1;3
41,7.79,47,1.92;0.42;0.3;2.42;0.23;0.44;0.73;0.82;0.02;5.32;17.23;0.67;18.05;15.48;8.33;2.44;8.11;0.34;47;10;7.79,-1,-1,10,2;3;1;2;20;100;-1;4;3;-2;0.9;80;4;1;1;2;4;3;7;11;544;4;1;2;1;672;256;2.1;1;3
42,25.21,33,0.98;0.74;0.33;3.64;0.41;0.97;0.58;0.84;0.02;12.88;8.87;1.24;6.43;6.68;14.78;1.23;14.25;0.63;33;10;25.21,-1,-1,10,1;3;1;3;30;100;0;4;2;-3;0.7;80;3;1;2;1;3;2;7;12;416;3;1;1;2;704;288;1.6;1;3
43,7.79,39,1.92;0.42;0.3;2.42;0.23;0.44;0.73;0.82;0.02;5.32;17.23;0.67;18.05;15.48;8.33;2.44;8.11;0.34;39;10;7.79,-1,-1,10,2;3;1;2;40;100;0;3;3;-2;0.9;90;2;1;1;1;2;2;7;12;544;3;1;2;3;736;256;1.1;2;3
44,7.79,44,1.92;0.42;0.3;2.42;0.23;0.44;0.73;0.82;0.02;5.32;17.23;0.67;18.05;15.48;8.33;2.44;8.11;0.34;44;10;7.79,-1,-1,10,1;3;2;3;40;100;0;2;3;-3;0.7;100;3;1;2;2;3;3;7;11;544;2;1;3;3;736;256;1.1;1;2
45,25.21,32,0.98;0.74;0.33;3.64;0.41;0.97;0.58;0.84;0.02;12.88;8.87;1.24;6.43;6.68;14.78;1.23;14.25;0.63;32;10;25.21,-1,-1,10,1;3;1;2;50;100;-1;3;3;-2;0.7;90;2;2;2;1;2;2;6;12;416;1;1;2;2;768;288;1.1;1;3
46,25.21,30,0.98;0.74;0.33;3.64;0.41;0.97;0.58;0.84;0.02;12.88;8.87;1.24;6.43;6.68;14.78;1.23;14.25;0.63;30;10;25.21,-1,-1,10,1;3;2;3;40;100;-2;2;3;-1;0.7;80;2;1;3;1;2;2;5;13;288;2;1;1;2;736;256;1.6;1;2
47,43.07,43,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;43;10;43.07,-1,-1,10,2;3;1;3;30;100;-3;3;3;-1;0.5;70;3;1;3;2;3;3;4;13;160;2;1;1;3;736;256;1.1;2;1
48,25.21,42,0.98;0.74;0.33;3.64;0.41;0.97;0.58;0.84;0.02;12.88;8.87;1.24;6.43;6.68;14.78;1.23;14.25;0.63;42;10;25.21,-1,-1,10,3;2;1;2;30;100;-2;4;2;-2;0.5;70;3;1;3;2;4;3;3;12;288;1;1;1;3;768;224;1.6;1;1
49,25.21,37,0.98;0.74;0.33;3.64;0.41;0.97;0.58;0.84;0.02;12.88;8.87;1.24;6.43;6.68;14.78;1.23;14.25;0.63;37;10;25.21,-1,-1,10,4;3;2;2;30;100;-3;4;1;-1;0.5;70;2;1;4;1;3;2;4;11;288;2;1;1;2;800;192;1.1;1;1
50,13.96,36,1.0;0.35;0.36;2.61;0.36;0.91;0.54;0.83;0.02;12.67;10.84;1.81;6.48;8.74;20.25;1.01;14.27;0.51;36;10;13.96,-1,-1,10,3;2;1;3;40;200;-3;4;1;-2;0.5;80;2;2;3;1;2;3;3;12;288;3;1;2;3;768;224;1.1;1;1
51,43.07,50,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;50;10;43.07,-1,-1,10,4;3;1;3;50;100;-2;4;1;-1;0.5;80;2;1;4;2;3;2;3;12;160;2;1;3;3;768;256;1.6;2;2
